약국명,우편번호,주소,전화번호,위도,경도
이화자연약국,48578,"부산광역시 남구 용호로 113 301-2호 (용호동, 엘지메트로시티상가2)",051-612-2804,35.1220754,129.1124674
밀양약국,50430,"경상남도 밀양시 석정로 7-1 (내일동, 남정빌딩)",055-354-2335,35.4915422,128.7529595
고양스타약국,10595,경기도 고양시 덕양구 고양대로 1955 스타필드 고양 B1층 245호 (동산동),031-5173-0405,37.6469771,126.894778
필약국,5328,"서울특별시 강동구 올림픽로 664 2층 214호 (천호동, 대우 한강 베네시티)",02-485-2812,37.5405554,127.1249758
대학온누리약국,3605,서울특별시 서대문구 홍은중앙로 100-1 (홍은동),02-3411-8776,37.5994018,126.948653
믿음약국,31127,충청남도 천안시 동남구 충절로 116 101호 (원성동),,36.8085524,127.1581804
더?스타시티약국,5065,"서울특별시 광진구 아차산로 272 (자양동, 스타시티쇼핑몰)",02-2024-1311,37.5385583,127.0729962
우리들약국,5241,서울특별시 강동구 올림픽로 781 (암사동),02-427-0012,37.551009,127.1275705
훈훈약국,50650,경상남도 양산시 동면 금오13길 20 센텀빌딩 103~104호,055-385-0427,35.3175131,129.0257594
태장온누리약국,16698,"경기도 수원시 영통구 덕영대로 1505 (영통동, 늘푸른빌딩)",031-202-4566,37.2461191,127.055503
이양약국,58165,전라남도 화순군 이양면 학포로 558 (),061-372-3011,34.8872404,126.9878375
통영햇살약국,53037,경상남도 통영시 중앙로 312 태종빌딩 1층 (무전동),055-642-9126,34.8581228,128.428932
서울온누리약국,13831,"경기도 과천시 별양로 182-2 (부림동, 46번지 시대빌딩 102호, 102-1호)",02-502-9799,37.4340965,126.9981746
조은약국,47591,부산광역시 연제구 월드컵대로 24 (연산동),051-866-9655,35.1769359,129.0860253
두드림약국,16422,경기도 수원시 팔달구 일월로22번길 15 (화서동),031-298-2980,37.2858708,126.9806024
윤약국,37623,경상북도 포항시 북구 두호로 56 1층 (두호동),054-253-8205,36.060956,129.3724327
아이튼튼약국,49356,부산광역시 사하구 사하로 188 1층 (괴정동),051-204-5050,35.0985409,128.9941683
건강일등약국,51473,경상남도 창원시 성산구 삼정자로43번길 8 성주빌딩 1층 103호 (성주동),055-285-9365,35.1987709,128.7110238
한결약국,12112,경기도 남양주시 별내중앙로 50 101호 (별내동),,37.6471015,127.1239972
평화백제약국,55122,전라북도 전주시 완산구 모악로 4774 106호 (평화동1가),063-223-4789,35.7951994,127.1330949
늘봄약국,48499,"부산광역시 남구 수영로 304 8층 (대연동, 대승타워)",051-625-5565,35.1367995,129.0995214
대한약국,46950,부산광역시 사상구 사상로 295 (덕포동),051-305-2302,35.1711785,128.9827828
세영약국,47393,"부산광역시 부산진구 진사로61번길 29 (개금동, 시영아파트)",051-892-1470,35.1464855,129.0185282
청주약국,27852,충청북도 진천군 덕산읍 초금로 760 청주약국,043-536-4202,36.9121544,127.5066159
녹원약국,5630,서울특별시 송파구 백제고분로50길 26 1층 (방이동),02-423-0203,37.513444,127.1174244
정성온누리약국,7436,서울특별시 영등포구 신길로 36 (신길동),02-834-0191,37.4957913,126.9087385
은파약국,54145,전라북도 군산시 의료원로 159 신일아파트상가 (나운동),063-462-2710,35.9587119,126.6990773
홍약국,48963,부산광역시 중구 흑교로 53-1 (보수동2가),051-513-8911,35.104234,129.0245281
보은당약국,3468,서울특별시 은평구 응암로22길 28-6 1층 (응암동),02-374-8683,37.5932885,126.9210758
세림약국,51388,경상남도 창원시 의창구 우곡로217번길 33 호텔그레이 1층 101호 (명서동),055-288-1754,35.241789,128.6500297
뉴경남약국,52726,경상남도 진주시 진주대로 868 (칠암동),055-757-6009,35.1780527,128.0919938
경호강약국,52249,경상남도 산청군 신안면 원지로4번길 2 (신안면),055-973-5282,35.3031518,127.972576
늘사랑약국,21568,인천광역시 남동구 문화서로4번길 38 (구월동),434-5556,37.4447889,126.6969437
행복약국,3662,서울특별시 서대문구 거북골로 17 1층 (홍은동),02-6407-3119,37.5804202,126.9254372
우리들온누리약국,17117,경기도 용인시 처인구 남사읍 한숲로 84 1층 129호 (e편한세상 용인 한숲시티),031-336-7789,37.1545927,127.1741061
호호약국,2832,서울특별시 성북구 동소문로 63 드림트리빌딩 1층 (동소문동4가),02-2039-1752,37.5916439,127.0122138
호호약국,47592,부산광역시 연제구 연수로 177 2층 201호 (연산동),051-911-6091,35.1743848,129.0901298
오거리 수약국,17363,"경기도 이천시 이섭대천로 1242 107호 (창전동, 정곤빌딩)",031-631-7541,37.2812207,127.4472093
한양수약국,12048,경기도 남양주시 오남읍 양지로 47-39 (),031-571-1988,37.6830921,127.2040371
편한약국,48287,"부산광역시 수영구 광안해변로295번길 3 1층 101호 (민락동, 드림팰리스)",051-711-9090,35.1566367,129.1255935
파티마약국,42726,"대구광역시 달서구 학산로7길 39 (월성동,월성주공3단지 상가 110호)",053-635-6446,35.8328741,128.5305579
이층약국,58456,전라남도 영암군 삼호읍 대불주거로 187 삼호농협공단지점 2층 202호,061-461-9700,34.7550119,126.4558953
한티역약국,6218,서울특별시 강남구 도곡로 323 다른빌딩 1층 (역삼동),02-3453-9982,37.4961015,127.0514466
팔용온누리약국,51373,"경상남도 창원시 의창구 팔용로 438 (팔용동, 팔용종합상가)",055-293-2090,35.2553368,128.6135031
맑은약국,48111,부산광역시 해운대구 해운대로 802 웅신시네아트 B동 2층 202-1호 (좌동),051-702-5147,35.1691635,129.1766569
호반약국,3391,"서울특별시 은평구 통일로 767 401동 225호 (대조동, 베르디움STAY1)",,37.6133827,126.9269422
로타리약국,49254,부산광역시 서구 자갈치로 2 (충무동1가),0507-1357-4065,35.0962013,129.02474
스타약국,13249,경기도 성남시 중원구 산성대로 352 1층 (중앙동),031-732-4055,37.4438094,127.1555392
수온누리약국,39660,경상북도 김천시 혁신4로 9 (율곡동),054-439-7571,36.121415,128.182541
행복한약국,61660,광주광역시 남구 백양로 11 1층 (백운동),062-675-1127,35.1338333,126.9031568
비전중앙약국,17854,경기도 평택시 비전5로 16 프라우빌딩 1층 111-나호 (비전동),031-657-7888,36.999843,127.1132563
송현약국,61487,광주광역시 동구 백서로 133 (금동),062-236-5525,35.142349,126.9198157
하마정약국,47207,부산광역시 부산진구 동평로 366 1층 (양정동),051-861-6288,35.1745728,129.0652806
호수온누리약국,10896,경기도 파주시 경의로 1204 월드타워10차 105호 (와동동),031-946-5112,37.724999,126.7615095
그랜드약국,13600,"경기도 성남시 분당구 돌마로356번길 3 303호 (수내동, 그랜드프라자)",031-711-7574,37.3697159,127.1233299
삼환약국,13493,경기도 성남시 분당구 판교역로 230 2층 214호 (삼평동),031-698-3511,37.4012225,127.1105085
토마스약국,44461,울산광역시 중구 명륜로 75 (우정동),052-248-3556,35.5582382,129.3119058
유한당약국,56162,전라북도 정읍시 우암로 6 유한당약국 (시기동),532-8855,35.5639239,126.8541335
삼성메디컬약국,18008,"경기도 평택시 고덕갈평6길 29 109,110호 (고덕동)",031-665-6463,37.0573027,127.0474399
부평자애약국,21430,인천광역시 부평구 동수로 50 (부평동),032-508-4098,37.4851102,126.724136
유진온누리약국,10381,"경기도 고양시 일산서구 중앙로 1565 104호 (대화동, 메드위즈빌딩)",031-915-3382,37.675623,126.7477162
행복온누리약국,11662,경기도 의정부시 가능로 50 (가능동),031-872-6043,37.7465825,127.0367011
새봄약국,49464,부산광역시 사하구 다대로 234 (장림동),051-711-0370,35.0815768,128.9769323
안양새천년약국,13958,경기도 안양시 만안구 경수대로 1173 1층 (안양동),031-473-3258,37.4151155,126.9174829
정릉열린약국,2717,서울특별시 성북구 보국문로 40-3 (정릉동),02-911-2486,37.6083631,127.0101819
로뎀약국,46981,부산광역시 사상구 새벽로168번길 51 (감전동),051-321-2042,35.1556512,128.9861872
포도나무약국,10816,경기도 파주시 문산읍 방촌로 1675-34 (),031-954-7501,37.8641994,126.7806675
장생약국,38628,경상북도 경산시 중앙로 66 101호 (중방동),,35.8223695,128.7343694
신바오로약국,3311,"서울특별시 은평구 통일로 1030 은평헤스티아 1층 111,112호 (진관동)",02-962-1356,37.6341902,126.9176679
유진온누리약국,12999,경기도 하남시 감일백제로180번길 17 퀸즈에비뉴 1층 124호 (감이동),02-474-9047,37.5092034,127.1548273
은약국,3941,서울특별시 마포구 월드컵북로 224 청화상가 302호 (성산동),,37.5698817,126.9045075
사랑약국,58011,전라남도 순천시 해룡면 신대4길 4-25 1층,061-752-8275,34.9338217,127.5520698
기린약국,12771,경기도 광주시 신현로 51 2층,031-714-1614,37.3608578,127.1525281
남악약국,58567,"전라남도 무안군 삼향읍 남악4로 86 한양에드가 오피스텔 1차 1층 106,113호",061-285-3993,34.8131458,126.4664143
삼성웰약국,8793,서울특별시 관악구 남부순환로 1932 1층 (봉천동),,37.4768293,126.9635703
영재약국,57956,전라남도 순천시 중앙로 54 (장천동),061-745-7474,34.9506923,127.4844767
정래약국,32738,충청남도 금산군 금산읍 인삼로 79 (),041-751-2333,36.1031315,127.4905718
해뜨는약국,52517,경상남도 사천시 사천읍 선평길 17 (사천읍),055-855-0717,35.0801695,128.0914359
동화약국,3079,서울특별시 종로구 창경궁로 234 동화빌딩 103호 (명륜4가),02-762-0045,37.5824974,126.9985547
더조은약국,6374,"서울특별시 강남구 자곡로3길 21 상가1동 B202호 (자곡동, LH강남힐스테이트)",02-459-3005,37.4711594,127.0884362
메디약국,12141,"경기도 남양주시 경춘로 1511 (호평동, 메디피아클리닉)",031-593-1902,37.6555721,127.259395
옥정태평양약국,11473,경기도 양주시 회천남로 88 (옥정동),031-865-5855,37.8185483,127.0927954
새봄약국,3115,서울특별시 종로구 종로 374 1층 (숭인동),02-2138-1665,37.5737711,127.0190725
양지약국,2010,서울특별시 중랑구 동일로 865 1층 (묵동),02-972-6254,37.6075294,127.0780204
베델약국,16830,"경기도 용인시 수지구 문인로 59 107호 (풍덕천동, 삼익상가)",031-276-0050,37.3323534,127.0966345
행복한약국,22135,인천광역시 미추홀구 미추홀대로722번길 6 (주안동),032-421-3868,37.461665,126.6806556
부원약국,50925,경상남도 김해시 호계로 411 101호 (부원동),055-327-7740,35.2272162,128.8849759
새봄약국,24376,강원도 춘천시 퇴계로105번길 5 (퇴계동),033-264-5482,37.8618287,127.7319754
기린약국,52649,경상남도 진주시 진양호로 91 평거정상빌딩 1층 (평거동),,35.1673727,128.0497225
혜성프라자약국,21377,"인천광역시 부평구 원적로 434 (산곡동, 혜성프라자111호,113호)",032-516-6881,37.503328,126.7146268
새서울약국,39294,경상북도 구미시 신시로 73 수성메디칼 101호 (형곡동),054-441-9771,36.1144377,128.3387054
매일약국,59041,전라남도 해남군 해남읍 중앙2로 150 (홍한의원 김정형외과 매일약국),537-1642,34.5663095,126.59449
이화햇살약국,26325,강원도 원주시 현충로58번길 28 1층 (태장동),,37.3612931,127.9573906
효성온누리약국,16919,"경기도 용인시 기흥구 구성로 110 104호 (언남동, 용구프라자)",031-285-1053,37.2931855,127.1209214
새연세약국,8627,서울특별시 금천구 독산로 87 1층 (시흥동),02-891-3700,37.4551368,126.9056483
미소약국,41935,대구광역시 중구 중앙대로 411 (동일동),053-252-2959,35.8698706,128.5935381
뉴송도약국,49269,"부산광역시 서구 충무대로 8 (암남동,기산비치타운1층 105-1호)",051-254-1283,35.0764184,129.0164834
경남약국,51147,"경상남도 창원시 의창구 창이대로309번길 7 (봉곡동, 중앙빌딩)",055-237-2474,35.246732,128.670848
광재약국,27703,충청북도 음성군 음성읍 중앙로 106-1 (),043-872-2216,36.9337802,127.6892978
샘밭약국,24205,강원도 춘천시 신북읍 신샘밭로 431 (신북읍),033-243-4019,37.9279552,127.7577673
새그린약국,5537,서울특별시 송파구 토성로 58 (풍납동),02-473-6688,37.5290315,127.1160973
세솔한약국,61980,광주광역시 서구 화운로126번길 7 1층 (화정동),062-362-1301,35.1507578,126.8787878
길약국,13925,경기도 안양시 동안구 비산로 21 자이파크몰 1층 102호 (비산동),031-443-4874,37.4000271,126.9326383
연산시장약국,47603,부산광역시 연제구 월드컵대로 17 (연산동),051-868-5523,35.1762328,129.0856689
365열린큰약국,13640,"경기도 성남시 수정구 위례광장로 104 위례 한화 오벨리스크 센트럴스퀘어 1층 1049,1050,1051호 (창곡동)",,37.4730526,127.1412642
엄마손약국,4715,서울특별시 성동구 왕십리로 327 1층 (하왕십리동),02-6953-2773,37.5623974,127.0332569
경희자연애한약국,5407,"서울특별시 강동구 양재대로81길 61 102호 (성내동, 올림픽파크플러스)",02-489-6681,37.5237858,127.1307852
오호약국,47540,부산광역시 연제구 중앙대로 1085 오오빌딩 1층 102호 (연산동),051-866-5599,35.184889,129.0803159
예쁜약국,16815,경기도 용인시 수지구 신봉2로 2 센트럴500 223호 (신봉동),031-893-0750,37.3232084,127.0780476
미소약국,11129,경기도 포천시 영중면 양문로 79 (),031-534-1232,37.9998361,127.2423677
원종센타약국,14427,경기도 부천시 소사로 799 (원종동),032-675-2663,37.5274058,126.804578
사랑약국,10071,경기도 김포시 김포한강9로 109 제1층 102호 (구래동),031-987-5775,37.6465636,126.6251821
휴플러스약국,46298,부산광역시 금정구 장전로 31-1 (장전동),051-512-8305,35.22846,129.0853266
세연약국,48062,부산광역시 해운대구 해운대로 365 101호 (우동),051-747-2268,35.1704318,129.1374368
늘푸른약국,16496,경기도 수원시 팔달구 중부대로223번길 65 (우만동),031-211-6688,37.2788132,127.0409823
삼성정문약국,6351,"서울특별시 강남구 일원로 95 109호 (일원동, 신영프라자)",3412-4416,37.485765,127.0834812
밝은약국,63070,제주특별자치도 제주시 우정로 69 1층 (외도일동),064-743-2577,33.4866506,126.4311095
유채약국,46525,부산광역시 북구 금곡대로303번길 22 정능빌딩 3층 302호 (화명동),051-365-0428,35.235738,129.0126499
스마일약국,8745,서울특별시 관악구 중앙길 5 1층 (봉천동),,37.4836303,126.9538376
드림약국,53253,경상남도 거제시 거제중앙로 1893 1층 (고현동),055-633-8810,34.8871362,128.6234085
늘푸른약국,47798,부산광역시 동래구 충렬대로 469 (안락동),051-927-0034,35.1953042,129.1094297
신세계온누리약국,50818,경상남도 김해시 활천로267번길 14 (삼방동),055-321-5964,35.2441472,128.9087589
365샘약국,7573,서울특별시 강서구 양천로 424 가양역 데시앙플렉스 지식산업센터 131호 (등촌동),02-2054-6949,37.5642277,126.847971
용약국,16668,경기도 수원시 권선구 곡반정로 160 라퍼스트 423-1호 (곡반정동),031-8019-7708,37.241706,127.0342029
평제약국,2478,서울특별시 동대문구 약령시로 51 (제기동),02-963-6919,37.5830158,127.0357828
천우약국,7250,서울특별시 영등포구 영등포로 231-1 1층 (영등포동5가),02-2677-1266,37.5197085,126.9072777
군자종로약국,4929,서울특별시 광진구 천호대로 561 (중곡동),3437-2202,37.5571308,127.0806809
다나약국,7382,서울특별시 영등포구 가마산로 439-1 (신길동),02-832-1205,37.5053613,126.9053876
주영온누리약국,7367,"서울특별시 영등포구 영신로 9 1층 (영등포동, 주영빌딩)",02-842-5051,37.5123874,126.9092015
고운우리약국,30062,세종특별자치시 마음로 264 고운프라자 107호 (고운동),044-417-6141,36.5193249,127.2346888
호호온누리약국,13807,경기도 과천시 중앙로 129 고려빌딩 3층 304호 (중앙동),02-507-8878,37.428317,126.9909779
광혜원한약국,16413,경기도 수원시 권선구 일월천로4번길 55 1층 (구운동),031-295-7535,37.282683,126.9752163
윤온누리약국,18144,경기도 오산시 밀머리로1번길 12-6 (원동),031-375-7100,37.1410472,127.0748705
대명드림약국,42484,대구광역시 남구 대명로 86 1층 (대명동),,35.8390449,128.5669708
제일약국,50408,경상남도 밀양시 무안면 사명로 496 (무안면),055-352-0056,35.4688217,128.651834
아름약국,16825,경기도 용인시 수지구 동천로 62 센트럴상가 1층 8호 (동천동),031-896-7871,37.3402999,127.0962065
팜플러스약국,55123,전라북도 전주시 완산구 평화로 115 (평화동2가),063-225-0771,35.787058,127.134338
행복약국,50554,경상남도 양산시 덕계로 20 (덕계동),055-363-1650,35.370147,129.1484437
종로약국,21393,인천광역시 부평구 부평대로 36-1 (부평동),032-514-8000,37.4947116,126.7230502
파란하늘약국,18302,"경기도 화성시 봉담읍 동화길 89 109,110호",031-227-6602,37.216698,126.9585985
100평 광장약국,11758,경기도 의정부시 동일로 732 금오동 근린생활시설 1층 102호 (금오동),,37.7519574,127.0492861
경희약국,44726,울산광역시 남구 번영로 109 106호 (달동),052-260-2672,35.53515,129.328588
하나약국,21927,"인천광역시 연수구 먼우금로188번길 12 이리옴3빌딩 106,107,108호 (연수동)",032-815-0153,37.4134271,126.6765279
중앙약국,36968,경상북도 문경시 중앙로 148 1층 (점촌동),054-555-4016,36.5977367,128.2014003
한림약국,5339,서울특별시 강동구 성안로 149 1층 (천호동),02-486-9743,37.5365899,127.1347213
아름약국,31116,충청남도 천안시 동남구 망향로 189 102호 (안서동),041-565-3777,36.840088,127.1741104
소망약국,37771,경상북도 포항시 남구 중흥로 82 (상도동),281-7100,36.0124205,129.3501278
21세기상계약국,1674,서울특별시 노원구 동일로 1548 (상계동),937-2288,37.6666795,127.0576424
천호바로약국,5328,서울특별시 강동구 올림픽로 654 삼영빌딩 1층 (천호동),02-470-1585,37.5398574,127.1240828
문학사랑약국,22238,인천광역시 미추홀구 소성로326번길 4 (문학동),032-432-5639,37.4373867,126.6832653
희망약국,25769,"강원도 동해시 천곡로 86-2 110호 (천곡동, 대륜빌딩)",033-535-0628,37.5228662,129.1150224
튼튼약국,44043,울산광역시 동구 방어진순환도로 771 (전하동),052-201-6777,35.5105663,129.4301704
참약국,31981,충청남도 서산시 시장6로 30-15 (동문동),041-666-0039,36.7823125,126.4587495
다온약국,58118,전라남도 화순군 화순읍 중앙로 69 103호,061-375-0503,35.0606453,126.9888898
참좋은약국,31125,충청남도 천안시 동남구 충절로 23-1 (신부동),,36.8169706,127.1586686
참사랑약국,41145,대구광역시 동구 동촌로 225 (방촌동),053-985-6622,35.8818815,128.6650785
정화약국,56191,전라북도 정읍시 충정로 70 (상동),063-533-7388,35.5600962,126.8691522
조은약국,10402,경기도 고양시 일산동구 중앙로1261번길 55 1층 105호 (장항동),031-926-3067,37.6575787,126.7708662
미래약국,21389,인천광역시 부평구 부평대로17번길 2 (부평동),032-527-8250,37.4931088,126.7227116
건강약국,26442,강원도 원주시 치악로 1789 (개운동),033-766-4583,37.342157,127.9551774
동해약국,49035,부산광역시 영도구 태종로 137 1층 (봉래동3가),051-416-3232,35.0922551,129.0441828
올약국,42674,대구광역시 달서구 장기로 193 1층 (본리동),053-522-8001,35.8433268,128.5393487
참약사 평화약국,48545,부산광역시 남구 양지골로 257 (감만동),,35.1192119,129.084386
봄봄약국,1073,서울특별시 강북구 도봉로 323 용신빌딩 102호 (수유동),02-998-8283,37.6371305,127.0242171
조아약국,48731,부산광역시 동구 중앙대로 284 1층 (초량동),,35.1217868,129.0436672
터미널약국,54934,"전라북도 전주시 덕진구 가리내로 70 (금암동, 전주고속버스터미널)",063-252-5780,35.8345597,127.1292062
송산봄약국,18550,경기도 화성시 송산면 송산포도로 103 (),031-356-3396,37.2140388,126.7373732
스타온누리약국,59543,전라남도 고흥군 고흥읍 터미널길 13 빅 리치타워 1층 105호,,34.6064799,127.281097
태연약국,15395,경기도 안산시 단원구 화랑로 160 단지내 상가 2층 208호 (초지동),031-402-3111,37.3234528,126.8057788
일로약국,58575,전라남도 무안군 일로읍 일로로 74-1 (),061-281-0722,34.8494048,126.4945924
한빛약국,10526,"경기도 고양시 덕양구 용현로 27 104호 (행신동, 행신프라자)",031-970-6192,37.6152314,126.8356424
성모약국,52550,경상남도 사천시 주공로 12-1 (벌리동),055-833-5667,34.9393465,128.0867204
양정약국,44260,울산광역시 북구 염포로 529 104호 (양정동),052-246-2522,35.5442675,129.3850905
사당미소약국,8807,서울특별시 관악구 과천대로 939 르메이에르강남타운2 3층 (남현동),02-586-8009,37.4743938,126.9814601
다모아약국,11473,경기도 양주시 옥정로 196 111호 (옥정동),031-866-4450,37.8189751,127.0921402
우리들약국,50427,경상남도 밀양시 중앙로 381-1 (내이동),055-356-2914,35.4956894,128.7510411
대학약국,3081,"서울특별시 종로구 창경궁로 162 1,2층 (원남동)",02-3672-3672,37.5768148,126.9974867
효성약국,52504,경상남도 사천시 곤양면 서삼로 8 (곤양면),055-852-6384,35.056645,127.9618776
염산종로약국,57066,전라남도 영광군 염산면 천년로 20-1 (),,35.2171474,126.3741659
봄에 핀 온누리 약국,55334,전라북도 완주군 삼례읍 삼봉중앙로 9 동원빌딩,063-262-8575,35.9219245,127.1237386
창현약국,7510,서울특별시 강서구 금낭화로 127 강서농협 1층 (방화동),02-2665-0045,37.5765521,126.812109
가나다약국,16649,경기도 수원시 권선구 매송고색로 714 (고색동),031-297-1717,37.2510983,126.9825649
늘좋은약국,63223,제주특별자치도 제주시 연삼로 414 1층 (이도이동),064-751-2277,33.4962716,126.5353153
으뜸온누리약국,21650,"인천광역시 남동구 논현로 69 하늘마을휴먼시아3단지 상가비동 104,203,204호 (논현동)",032-431-1125,37.4020292,126.7141395
굿모닝약국,12750,경기도 광주시 벌원길 63-3 (탄벌동),031-764-7178,37.4160621,127.2479626
철산하늘약국,14237,경기도 광명시 철산로 24 다인빌딩 2층 201-1호 (철산동),02-2060-0110,37.4760099,126.8690111
하나약국,34411,대전광역시 대덕구 계족산로 5 (중리동),042-638-1919,36.3617876,127.4321102
아름약국,17596,경기도 안성시 강변남로 22 (도기동),031-672-4326,37.0009435,127.2697333
서초늘봄약국,6655,"서울특별시 서초구 서초대로38길 12 지하2층 (서초동, 마제스타시티,힐스테이트서리풀)",,37.4902698,127.0051245
경주프라자약국,38084,경상북도 경주시 황성로 25 (황성동),054-772-3695,35.8654756,129.214149
관산 오약국,59347,전라남도 장흥군 관산읍 관산로 82 (),061-867-3555,34.5626422,126.938886
튼튼약국,16954,"경기도 용인시 기흥구 흥덕2로87번길 18 c동 303호 (영덕동, 이씨티)",031-217-7776,37.2758482,127.0718775
천일온누리약국,57788,전라남도 광양시 중마중앙로 79 (중동),061-792-4441,34.9372841,127.6977316
상하약국,56410,전라북도 고창군 상하면 상하로 68 하나의원,063-561-1894,35.444107,126.4931446
프랜드팜남대문약국,55056,전라북도 전주시 완산구 용머리로 57 (효자동1가),063-222-2106,35.8069429,127.1163364
해양약국,61623,광주광역시 남구 대남대로 370 (월산동),062-364-9669,35.1443911,126.8916361
힘나는약국,34679,대전광역시 동구 신기로101번길 21 (가오동),042-283-5025,36.3107994,127.4559284
건강제이드약국,49205,부산광역시 서구 동대로 20 1층 (동대신동3가),051-254-9872,35.1190352,129.0179251
강성약국,11755,경기도 의정부시 금오로 112 (금오동),031-847-2391,37.756755,127.0775526
유성대학약국,34084,대전광역시 유성구 북유성대로 89 (지족동),,36.3748364,127.3256269
별약국,4596,서울특별시 중구 동호로 163 3층 302호 (신당동),02-2233-5704,37.5529638,127.0117354
현샘약국,42612,대구광역시 달서구 달구벌대로251길 33 1층 (이곡동),053-585-3606,35.8551477,128.5046919
온약국,21673,인천광역시 남동구 소래역로 20 104호 (논현동),032-433-9594,37.3992223,126.7363497
바다약국,63566,제주특별자치도 서귀포시 신서귀로97번길 51 바다약국 101호호 (강정동),064-738-1598,33.2539739,126.5069911
튼튼약국,18136,경기도 오산시 오산로 305 (오산동),031-372-6634,37.1541958,127.0684407
보배약국,18478,경기도 화성시 동탄대로 551-16 동탄역 푸르지오시티 B동 328호 (오산동),070-4647-1530,37.2031679,127.0968913
행복가득한약국,10524,경기도 고양시 덕양구 무원로 62 1층 (행신동),031-972-6985,37.6184303,126.8325519
다정약국,17051,경기도 용인시 처인구 백옥대로 1102-1 1층 (김량장동),031-333-5879,37.2338949,127.2092988
코코약국,12223,경기도 남양주시 평내로29번길 41 메인프라자 206-1호 (평내동),031-594-0410,37.645415,127.2349877
봄봄약국,61755,광주광역시 남구 입하길 12 1층 (송하동),062-652-3246,35.1076825,126.8775007
평화약국,55772,전라북도 남원시 숲정이2길 15 (죽항동),063-634-7770,35.4094323,127.3881732
초원약국,3464,서울특별시 은평구 은평로10길 4 (응암동),02-6326-4986,37.5999831,126.9228255
해바라기약국,6252,서울특별시 강남구 강남대로 320 1층 (역삼동),02-552-5679,37.4918602,127.031063
메디칼우리약국,1845,서울특별시 노원구 동일로 1044 1층 (공릉동),971-6040,37.6233742,127.0740647
상봉햇살약국,2169,서울특별시 중랑구 상봉로 118 E-마트 상봉점 4층 (망우동),02-434-8678,37.5965068,127.0935977
명문온누리약국,2518,서울특별시 동대문구 사가정로 225 1층 (장안동),02-2212-8881,37.5789421,127.0701566
손약국,50629,경상남도 양산시 양산역6길 3 113호 (중부동),055-386-2022,35.33781,129.0266014
종로태양약국,3130,서울특별시 종로구 종로 191 1층 (종로4가),02-766-1777,37.5711058,126.9990105
검단보령약국,22865,"인천광역시 서구 원당대로 1039 태경타워 105,106호 (원당동)",032-565-0022,37.5938029,126.7163342
마루약국,7794,서울특별시 강서구 강서로 399 마곡하이마루 210호 (마곡동),02-3663-3563,37.5612908,126.838664
일신약국,50595,경상남도 양산시 물금읍 오봉로 195 (물금읍),055-363-3008,35.3338356,129.0087833
상무제일약국,61962,광주광역시 서구 치평로 30 1층 (치평동),062-513-0045,35.1499484,126.8476667
코리아약국,6325,서울특별시 강남구 선릉로 34 1층 (개포동),02-572-6123,37.4828398,127.060745
대한약국,34838,대전광역시 중구 중앙로 129 (선화동),042-252-6250,36.3281857,127.4240231
정약국,57950,전라남도 순천시 이수로 305 1층 (조례동),061-726-1233,34.9533732,127.5172374
